File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\programs\JAVA WORD\src\Animal1.java,263,198,154,15,65,0,0,0,0,0
E:\programs\JAVA WORD\src\Animal1_2.java,262,205,159,15,57,0,0,0,0,0
E:\programs\JAVA WORD\src\Animal2.java,307,230,179,17,77,0,0,0,0,0
E:\programs\JAVA WORD\src\Animal2_2.java,305,230,179,17,75,0,0,0,0,0
E:\programs\JAVA WORD\src\Animal2_3.java,304,230,179,17,74,0,0,0,0,0
E:\programs\JAVA WORD\src\Animal3.java,305,228,177,17,77,0,0,0,0,0
E:\programs\JAVA WORD\src\Animal3_2.java,308,229,177,17,79,0,0,0,0,0
E:\programs\JAVA WORD\src\Animal3_3.java,309,228,177,17,81,0,0,0,0,0
E:\programs\JAVA WORD\src\animals.java,6,4,2,0,2,0,0,0,0,0
E:\programs\JAVA WORD\src\Boxing.java,314,253,192,27,61,0,0,0,0,0
E:\programs\JAVA WORD\src\Boxing1.java,313,250,190,27,63,0,0,0,0,0
E:\programs\JAVA WORD\src\Boxing2.java,323,252,191,27,71,0,0,0,0,0
E:\programs\JAVA WORD\src\category.java,257,211,154,52,46,0,0,0,0,0
E:\programs\JAVA WORD\src\Celebraties.java,408,278,211,30,130,0,0,0,0,0
E:\programs\JAVA WORD\src\Celebraties1.java,317,271,207,30,46,0,0,0,0,0
E:\programs\JAVA WORD\src\Celebraties2.java,298,247,189,27,51,0,0,0,0,0
E:\programs\JAVA WORD\src\classStart.java,10,5,3,0,5,0,0,0,0,0
E:\programs\JAVA WORD\src\cleb.java,9,4,2,0,4,0,1,4,0,0
E:\programs\JAVA WORD\src\Countries1.java,308,229,178,17,79,0,0,0,0,0
E:\programs\JAVA WORD\src\Countries1_2.java,311,229,178,17,82,0,0,0,0,0
E:\programs\JAVA WORD\src\Countries1_3.java,311,229,178,17,82,0,0,0,0,0
E:\programs\JAVA WORD\src\Countries2.java,308,234,184,17,74,0,0,0,0,0
E:\programs\JAVA WORD\src\Countries2_2.java,307,234,184,17,73,0,0,0,0,0
E:\programs\JAVA WORD\src\Countries2_3.java,309,234,184,17,75,0,0,0,0,0
E:\programs\JAVA WORD\src\Countries3.java,305,233,182,17,72,0,0,0,0,0
E:\programs\JAVA WORD\src\Countries3_2.java,308,233,182,17,75,0,0,0,0,0
E:\programs\JAVA WORD\src\Countries3_3.java,309,233,182,17,76,0,0,0,0,0
E:\programs\JAVA WORD\src\eatables.java,9,4,2,0,5,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit1.java,306,231,180,17,75,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit1_2.java,307,231,180,17,76,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit1_3.java,296,230,180,17,66,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit2.java,307,228,179,17,79,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit2_2.java,306,228,179,17,78,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit2_3.java,305,228,179,17,77,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit3.java,315,239,190,17,76,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit3_2.java,318,239,190,17,79,0,0,0,0,0
E:\programs\JAVA WORD\src\Fruit3_3.java,322,239,190,17,83,0,0,0,0,0
E:\programs\JAVA WORD\src\IT.java,334,280,218,30,54,0,0,0,0,0
E:\programs\JAVA WORD\src\IT1.java,327,259,197,27,68,0,0,0,0,0
E:\programs\JAVA WORD\src\IT2.java,315,258,197,27,57,0,0,0,0,0
E:\programs\JAVA WORD\src\MenuClass.java,180,153,137,0,26,4,1,74,0,0
E:\programs\JAVA WORD\src\MoviesNames.java,346,278,209,30,68,0,0,0,0,0
E:\programs\JAVA WORD\src\MoviesNames1.java,354,272,213,23,82,0,0,0,0,0
E:\programs\JAVA WORD\src\MoviesNames2.java,322,246,192,20,76,0,0,0,0,0
E:\programs\JAVA WORD\src\PuzzleWord.java,169,136,106,10,33,0,0,0,0,0
E:\programs\JAVA WORD\src\Sound.java,46,36,25,2,10,0,0,0,0,0
E:\programs\JAVA WORD\src\sports.java,9,4,2,0,5,0,0,0,0,0
E:\programs\JAVA WORD\src\Tennis1.java,292,214,165,17,78,0,0,0,0,0
E:\programs\JAVA WORD\src\Tennis1_2.java,292,214,165,17,78,0,0,0,0,0
E:\programs\JAVA WORD\src\Tennis1_3.java,292,214,165,17,78,0,0,0,0,0
E:\programs\JAVA WORD\src\trytry.java,28,25,15,0,3,0,0,0,0,0
E:\programs\JAVA WORD\src\Vehicles.java,383,270,207,25,113,0,0,0,0,0
E:\programs\JAVA WORD\src\Vehicles1.java,331,231,176,24,100,0,0,0,0,0
E:\programs\JAVA WORD\src\Vehicles2.java,365,275,208,30,90,0,0,0,0,0
E:\programs\JAVA WORD\src\WorldLeaders.java,338,273,215,30,65,0,0,0,0,0
E:\programs\JAVA WORD\src\WorldLeaders1.java,353,274,216,30,79,0,0,0,0,0
E:\programs\JAVA WORD\src\WorldLeaders2.java,361,272,214,30,89,0,0,0,0,0
E:\programs\JAVA WORD\src\FirstCODE\Cricket_Puzzle.java,371,321,289,34,50,0,0,0,0,0
E:\programs\JAVA WORD\src\FirstCODE\package-info.java,11,9,6,0,2,0,0,0,0,0
E:\programs\JAVA WORD\src\FirstCODE\Sound.java,31,26,16,0,5,0,0,0,0,0
E:\programs\JAVA WORD\src\FirstCODE\SoundPlay.java,34,15,12,0,19,0,0,0,0,0
E:\programs\JAVA WORD\src\Tayyab\my.java,52,35,29,0,8,0,9,21,0,0
E:\programs\JAVA WORD\src\Tayyab\package-info.java,8,1,1,0,0,0,7,9,7,9
E:\programs\JAVA WORD\src\Tayyab\TextAreaNotEditable.java,47,33,27,0,10,0,4,11,0,0
