Word,Count
*,11
the,8
of,5
,5
in,3
is,3
letters,2
application,2
you,2
used,2
for,2
matrix,2
Frame,2
answer,2
uneditable,1
are,1
TODO,1
method,1
By,1
Luck,1
win,1
Play,1
below,1
setEditable(false),1
words,1
There,1
such,1
diagonal,1
combinition,1
\JLabel("\The\,1
10,1
Launch,1
@author,1
\editable,\,1
Create,1
Auto-generated,1
frame,1
Good,1
constructor,1
calling,1
produce,1
way,1
find,1
How,1
vertical,1
Noraiz,1
field,1
default,1
formed,1
word,1
L=new,1
points,1
wrong,1
given,1
no,1
The,1
about(),1
it,1
will,1
Initialize,1
with,1
Type,1
arrangement,1
can,1
or,1
HowToPlay(),1
text,1
To,1
JTextAread,1
deduction,1
tha,1
a,1
stub,1
about,1
\"\);\,1
contents,1
JTextArea,1
set,1
This,1
right,1
horizontal,1
be,1
